,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.19,168.86,48.99,80,59,14.0,NZ,1603122785
1,Fukuechō,32.69,128.84,68.59,69,51,19.98,JP,1603122786
2,Vaini,-21.2,-175.2,69.8,77,20,9.17,TO,1603122786
3,Punta Arenas,-53.15,-70.92,42.8,61,40,32.21,CL,1603122729
4,Buta,2.79,24.73,76.12,92,100,0.72,CD,1603122786
5,São Filipe,14.9,-24.5,81.95,75,7,8.75,CV,1603122786
6,Rikitea,-23.12,-134.97,73.6,79,0,14.63,PF,1603122786
7,Chui,-33.7,-53.46,80.42,54,93,5.84,UY,1603122786
8,Faya,18.39,42.45,71.6,13,20,13.87,SA,1603122786
9,Hobart,-42.88,147.33,46.4,93,49,4.7,AU,1603122610
10,Asău,46.43,26.4,53.6,54,2,10.29,RO,1603122787
11,Aklavik,68.22,-135.01,14.59,87,92,5.86,CA,1603122787
12,Remanso,-9.62,-42.08,89.49,38,88,13.62,BR,1603122787
13,Bambous Virieux,-20.34,57.76,75.2,73,20,10.29,MU,1603122787
14,Nhulunbuy,-12.23,136.77,73.4,88,10,3.36,AU,1603122787
15,Hilo,19.73,-155.09,73.4,83,90,3.36,US,1603122776
16,Thompson,55.74,-97.86,24.51,93,58,6.8,CA,1603122787
17,Caravelas,-17.71,-39.25,80.15,59,100,7.7,BR,1603122787
18,Parabel',58.7,81.48,32.29,98,100,14.12,RU,1603122787
19,Barrow,71.29,-156.79,21.2,85,90,10.29,US,1603122787
20,Khyriv,49.53,22.85,45.0,80,59,10.0,UA,1603122787
21,Zhob,31.34,69.45,61.23,21,0,1.45,PK,1603122787
22,Faanui,-16.48,-151.75,79.68,79,0,14.79,PF,1603122788
23,Acajutla,13.59,-89.83,81.0,72,99,7.0,SV,1603122788
24,Kruisfontein,-34.0,24.73,66.99,75,53,5.99,ZA,1603122788
25,Nikolskoye,59.7,30.79,36.0,95,75,6.71,RU,1603122788
26,Hermanus,-34.42,19.23,62.01,67,63,5.01,ZA,1603122788
27,Muravlenko,63.79,74.52,28.4,99,100,9.73,RU,1603122788
28,Aracati,-4.56,-37.77,90.12,42,75,16.22,BR,1603122788
29,Tuatapere,-46.13,167.68,48.99,80,79,14.0,NZ,1603122788
30,Taoudenni,22.68,-3.98,97.72,9,0,12.06,ML,1603122788
31,San Patricio,28.02,-97.52,84.99,88,75,8.05,US,1603122788
32,Busselton,-33.65,115.33,60.01,62,3,11.05,AU,1603122788
33,Nanortalik,60.14,-45.24,39.38,86,76,9.13,GL,1603122789
34,Te Anau,-45.42,167.72,42.1,83,75,5.19,NZ,1603122789
35,Trincomalee,8.57,81.23,81.12,76,91,13.06,LK,1603122789
36,Laas,46.62,10.7,50.0,70,39,8.05,IT,1603122789
37,Rantoul,40.31,-88.16,46.99,93,90,11.41,US,1603122789
38,Talnakh,69.49,88.4,17.6,92,90,11.18,RU,1603122789
39,Muros,42.78,-9.06,60.01,93,100,18.01,ES,1603122789
40,Atuona,-9.8,-139.03,78.12,74,6,22.15,PF,1603122789
41,Aljezur,37.32,-8.8,70.0,79,100,11.01,PT,1603122789
42,Dikson,73.51,80.55,24.13,95,95,19.82,RU,1603122789
43,Bambanglipuro,-7.95,110.28,76.17,88,100,5.1,ID,1603122789
44,Zeya,53.75,127.27,26.73,90,96,4.5,RU,1603122790
45,Longyearbyen,78.22,15.64,26.6,79,75,10.29,SJ,1603122790
46,Souillac,-20.52,57.52,75.2,73,20,10.29,MU,1603122790
47,Bourail,-21.57,165.48,68.92,80,0,1.74,NC,1603122790
48,Port Elizabeth,-33.92,25.57,68.0,77,68,6.93,ZA,1603122790
49,Sayyan,15.17,44.32,59.68,31,0,9.53,YE,1603122790
50,Beidao,34.57,105.89,53.58,53,100,3.2,CN,1603122790
51,Santa Marinella,42.03,11.85,59.0,80,42,4.9,IT,1603122790
52,Tarko-Sale,64.92,77.78,27.55,99,100,9.42,RU,1603122790
53,Udachny,66.42,112.4,15.8,85,90,4.47,RU,1603122790
